control_date,candidate_universe_id,candidate_symbol_count,source_family,required_variable_anchors,required_output,status,blocking_reason
2011-04-19,retrospective-samplefirms:2011-04-19,35,CRSP,lnMCAP|Beta_SPY|invPRC,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-19,retrospective-samplefirms:2011-04-19,35,IBES,lnnumest,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-19,retrospective-samplefirms:2011-04-19,35,TAQ,,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-19,retrospective-samplefirms:2011-04-19,35,RAVENPACK,ln_Story_Count_Relevant,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-19,retrospective-samplefirms:2011-04-19,35,MARKIT,DCBS,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-19,retrospective-samplefirms:2011-04-19,35,OPTIONMETRICS,,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-19,retrospective-samplefirms:2011-04-19,35,THOMSON_REUTERS_13F,IO,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-20,retrospective-samplefirms:2011-04-20,75,CRSP,lnMCAP|Beta_SPY|invPRC,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-20,retrospective-samplefirms:2011-04-20,75,IBES,lnnumest,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-20,retrospective-samplefirms:2011-04-20,75,TAQ,,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-20,retrospective-samplefirms:2011-04-20,75,RAVENPACK,ln_Story_Count_Relevant,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-20,retrospective-samplefirms:2011-04-20,75,MARKIT,DCBS,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-20,retrospective-samplefirms:2011-04-20,75,OPTIONMETRICS,,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-20,retrospective-samplefirms:2011-04-20,75,THOMSON_REUTERS_13F,IO,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-26,retrospective-samplefirms:2011-04-26,143,CRSP,lnMCAP|Beta_SPY|invPRC,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-26,retrospective-samplefirms:2011-04-26,143,IBES,lnnumest,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-26,retrospective-samplefirms:2011-04-26,143,TAQ,,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-26,retrospective-samplefirms:2011-04-26,143,RAVENPACK,ln_Story_Count_Relevant,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-26,retrospective-samplefirms:2011-04-26,143,MARKIT,DCBS,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-26,retrospective-samplefirms:2011-04-26,143,OPTIONMETRICS,,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-26,retrospective-samplefirms:2011-04-26,143,THOMSON_REUTERS_13F,IO,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-27,retrospective-samplefirms:2011-04-27,155,CRSP,lnMCAP|Beta_SPY|invPRC,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-27,retrospective-samplefirms:2011-04-27,155,IBES,lnnumest,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-27,retrospective-samplefirms:2011-04-27,155,TAQ,,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-27,retrospective-samplefirms:2011-04-27,155,RAVENPACK,ln_Story_Count_Relevant,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-27,retrospective-samplefirms:2011-04-27,155,MARKIT,DCBS,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-27,retrospective-samplefirms:2011-04-27,155,OPTIONMETRICS,,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-04-27,retrospective-samplefirms:2011-04-27,155,THOMSON_REUTERS_13F,IO,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-07-20,retrospective-samplefirms:2011-07-20,32,CRSP,lnMCAP|Beta_SPY|invPRC,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-07-20,retrospective-samplefirms:2011-07-20,32,IBES,lnnumest,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-07-20,retrospective-samplefirms:2011-07-20,32,TAQ,,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-07-20,retrospective-samplefirms:2011-07-20,32,RAVENPACK,ln_Story_Count_Relevant,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-07-20,retrospective-samplefirms:2011-07-20,32,MARKIT,DCBS,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-07-20,retrospective-samplefirms:2011-07-20,32,OPTIONMETRICS,,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-07-20,retrospective-samplefirms:2011-07-20,32,THOMSON_REUTERS_13F,IO,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-07-26,retrospective-samplefirms:2011-07-26,64,CRSP,lnMCAP|Beta_SPY|invPRC,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-07-26,retrospective-samplefirms:2011-07-26,64,IBES,lnnumest,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-07-26,retrospective-samplefirms:2011-07-26,64,TAQ,,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-07-26,retrospective-samplefirms:2011-07-26,64,RAVENPACK,ln_Story_Count_Relevant,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-07-26,retrospective-samplefirms:2011-07-26,64,MARKIT,DCBS,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-07-26,retrospective-samplefirms:2011-07-26,64,OPTIONMETRICS,,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-07-26,retrospective-samplefirms:2011-07-26,64,THOMSON_REUTERS_13F,IO,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-07-27,retrospective-samplefirms:2011-07-27,84,CRSP,lnMCAP|Beta_SPY|invPRC,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-07-27,retrospective-samplefirms:2011-07-27,84,IBES,lnnumest,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-07-27,retrospective-samplefirms:2011-07-27,84,TAQ,,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-07-27,retrospective-samplefirms:2011-07-27,84,RAVENPACK,ln_Story_Count_Relevant,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-07-27,retrospective-samplefirms:2011-07-27,84,MARKIT,DCBS,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-07-27,retrospective-samplefirms:2011-07-27,84,OPTIONMETRICS,,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-07-27,retrospective-samplefirms:2011-07-27,84,THOMSON_REUTERS_13F,IO,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-08-03,retrospective-samplefirms:2011-08-03,74,CRSP,lnMCAP|Beta_SPY|invPRC,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-08-03,retrospective-samplefirms:2011-08-03,74,IBES,lnnumest,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-08-03,retrospective-samplefirms:2011-08-03,74,TAQ,,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-08-03,retrospective-samplefirms:2011-08-03,74,RAVENPACK,ln_Story_Count_Relevant,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-08-03,retrospective-samplefirms:2011-08-03,74,MARKIT,DCBS,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-08-03,retrospective-samplefirms:2011-08-03,74,OPTIONMETRICS,,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-08-03,retrospective-samplefirms:2011-08-03,74,THOMSON_REUTERS_13F,IO,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-08-18,retrospective-samplefirms:2011-08-18,15,CRSP,lnMCAP|Beta_SPY|invPRC,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-08-18,retrospective-samplefirms:2011-08-18,15,IBES,lnnumest,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-08-18,retrospective-samplefirms:2011-08-18,15,TAQ,,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-08-18,retrospective-samplefirms:2011-08-18,15,RAVENPACK,ln_Story_Count_Relevant,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-08-18,retrospective-samplefirms:2011-08-18,15,MARKIT,DCBS,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-08-18,retrospective-samplefirms:2011-08-18,15,OPTIONMETRICS,,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-08-18,retrospective-samplefirms:2011-08-18,15,THOMSON_REUTERS_13F,IO,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-10-20,retrospective-samplefirms:2011-10-20,42,CRSP,lnMCAP|Beta_SPY|invPRC,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-10-20,retrospective-samplefirms:2011-10-20,42,IBES,lnnumest,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-10-20,retrospective-samplefirms:2011-10-20,42,TAQ,,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-10-20,retrospective-samplefirms:2011-10-20,42,RAVENPACK,ln_Story_Count_Relevant,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-10-20,retrospective-samplefirms:2011-10-20,42,MARKIT,DCBS,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-10-20,retrospective-samplefirms:2011-10-20,42,OPTIONMETRICS,,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-10-20,retrospective-samplefirms:2011-10-20,42,THOMSON_REUTERS_13F,IO,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-10-21,retrospective-samplefirms:2011-10-21,5,CRSP,lnMCAP|Beta_SPY|invPRC,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-10-21,retrospective-samplefirms:2011-10-21,5,IBES,lnnumest,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-10-21,retrospective-samplefirms:2011-10-21,5,TAQ,,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-10-21,retrospective-samplefirms:2011-10-21,5,RAVENPACK,ln_Story_Count_Relevant,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-10-21,retrospective-samplefirms:2011-10-21,5,MARKIT,DCBS,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-10-21,retrospective-samplefirms:2011-10-21,5,OPTIONMETRICS,,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-10-21,retrospective-samplefirms:2011-10-21,5,THOMSON_REUTERS_13F,IO,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
2011-10-26,retrospective-samplefirms:2011-10-26,72,CRSP,lnMCAP|Beta_SPY|invPRC,point-in-time source coverage receipt plus required covariate facts,EXTERNAL_DATA_REQUIRED,AUTHORIZED_POINT_IN_TIME_SOURCE_NOT_LOADED
