control_date,event_count,candidate_universe_id,candidate_symbol_count,candidate_symbols,source_repository,source_revision,source_blob_sha,source_kind,admissibility_status,blocking_reason
2011-04-19,2,retrospective-samplefirms:2011-04-19,35,ALB|AOS|BK|BTU|CCK|CMA|CPY|CREE|CSX|DST|FRX|GS|HOG|HUBG|IBM|INTC|JNJ|JRN|LLTC|NTRS|NYB|OMC|PCAR|RF|RNST|RVBD|SBIB|STT|TWIN|URI|USB|VASC|WWW|WYNN|YHOO,vgreg/hacked_earnings_jfe,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,RETROSPECTIVE_SAMPLE_FIRMS,DEFINITION_ONLY_NOT_POINT_IN_TIME,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME
2011-04-20,1,retrospective-samplefirms:2011-04-20,75,AAPL|ABT|ACTG|ACU|AF|AMGN|AMR|ATR|AXP|BAS|BRKL|BSX|CAKE|CATY|CMG|CNS|COBZ|COHU|CPHD|CPSI|CTBI|CVA|CVBF|DGX|DTLK|ETFC|FCF|FCX|FFIV|FWRD|GHL|GILD|HBAN|HBI|HCBK|HNI|HON|HTLD|IEX|KNX|LNET|LRCX|LUFK|MAR|MEG|MKSI|MO|MTG|MYE|NEU|NFX|PBCT|PGI|PII|PJC|QCOM|RBCAA|RLRN|RRR|SCSS|SLM|STJ|SYBT|T|TEX|TIN|TSCO|TXT|USG|UTX|VMED|WERN|WFC|YDNT|YUM,vgreg/hacked_earnings_jfe,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,RETROSPECTIVE_SAMPLE_FIRMS,DEFINITION_ONLY_NOT_POINT_IN_TIME,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME
2011-04-26,1,retrospective-samplefirms:2011-04-26,143,ABCB|ACI|ACPW|AGCO|AJG|AKS|ALL|ALTR|AMED|AMZN|AN|APKT|ARB|ASH|AXE|BGS|BIRT|BKI|BPFH|BRCM|BWLD|CAP|CBG|CBT|CBU|CBZ|CE|CGI|CHRW|CLUB|CMI|CNC|COH|CPLA|CRS|CSFL|CSL|CTS|CVGI|CVTI|DAL|DDIC|DFG|DV|DWA|EWBC|FBC|FMER|FTI|FUBC|GLF|GRA|GSBC|HA|HGIC|HSP|HSY|IACI|IBKC|ILMN|IMN|IRBT|JDAS|JLL|KCI|KEYN|KNOL|KO|KWR|LCAV|LCC|LECO|LIFE|LII|LMT|LXK|MHP|MLI|MMM|MNI|MRCY|MSL|MUSA|NLC|ODP|OSHC|OSIS|PEBO|PPDI|PVTB|QCOR|R|RCKY|RFMD|RKT|ROP|RRC|SAH|SBNY|SBX|SFN|SFSF|SGMO|SHBI|SIAL|SIMG|SMCI|SNV|SPAR|SSCC|STBA|STLY|STR|SWK|TBBK|TFX|TKR|TLAB|TMK|TRH|TRMK|TSS|UA|UBSI|UHS|ULTI|UMBF|UPS|USNA|UTL|VDSI|VIST|VLO|VSI|WAB|WAT|WDR|WMS|WSBC|WTI|WU|X|ZIXI,vgreg/hacked_earnings_jfe,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,RETROSPECTIVE_SAMPLE_FIRMS,DEFINITION_ONLY_NOT_POINT_IN_TIME,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME
2011-04-27,1,retrospective-samplefirms:2011-04-27,155,ABD|ABG|AEA|AFFX|AFL|AI|AIZ|AKAM|ALR|ARRS|ARW|ATI|AVY|BA|BDC|BHI|BLC|CEVA|CFR|CINF|CIT|CLFC|CMP|COG|COP|CPF|CTXS|CYH|DAN|DBD|DEST|DNB|DPS|DTE|DUF|DYAX|EAT|EBAY|ECPG|EDMC|EEFT|EFX|EGN|ENR|EQIX|ESSA|ETH|EVBN|EXC|FISV|FOE|FPTB|GD|GERN|GGG|GLW|GTI|HGR|HRC|HUVL|ICO|ICON|IDCC|IDIX|IFSIA|INSP|ISSI|ITC|ITRI|JAH|JMP|JNY|KAI|KBR|KEX|LCRY|LIZ|LL|LNBB|LNC|LOOP|LSI|LZ|MANT|MBLX|MCO|MDP|MERU|MKTX|MORN|MSO|MWV|NCI|NEWP|NKTR|NOC|NOV|NSC|NTRI|NVLS|NWE|OC|ODFL|OII|PAR|PCTI|PDLI|PFBX|PFCB|PMTC|PX|RES|RGS|RNOW|ROC|ROK|RYL|SATC|SBUX|SCG|SCI|SFLY|SIFI|SIGI|SJW|SKX|SLAB|SO|SPN|SPNC|SRCL|SRDX|SUPG|SUSQ|SVVS|SYA|TAL|TBI|TDY|TER|TLCR|TMO|TMP|TQNT|TRN|TUP|TVL|TWI|UAM|VAR|WHR|WIRE|WLL|WLP|WYN,vgreg/hacked_earnings_jfe,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,RETROSPECTIVE_SAMPLE_FIRMS,DEFINITION_ONLY_NOT_POINT_IN_TIME,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME
2011-07-20,1,retrospective-samplefirms:2011-07-20,32,AXP|BLK|BRKL|CAKE|COHU|CTBI|CVBF|DTLK|EBAY|ETFC|EWBC|FFIV|FWRD|HBI|IEX|INTC|MO|NTRS|PJC|RLI|SCSS|SLM|STJ|STLY|SYBT|TEX|TMP|TXT|UMPQ|USB|WERN|WSTL,vgreg/hacked_earnings_jfe,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,RETROSPECTIVE_SAMPLE_FIRMS,DEFINITION_ONLY_NOT_POINT_IN_TIME,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME
2011-07-26,1,retrospective-samplefirms:2011-07-26,64,ACPW|ACW|AMAG|AMZN|AVY|BGS|BIIB|BPFH|BWLD|CAP|CBT|CBU|CHE|CHRW|CIT|CMI|CPLA|CSL|CSS|DFG|EEFT|EK|ERTS|ESIO|FISV|GILD|GRA|HSY|ILMN|IRBT|ITI|JDAS|KCI|KEYN|LL|LLTC|LZ|MMM|MTW|NOV|ODP|OSHC|OXY|PCAR|PMTC|PPDI|RCKY|RF|SBNY|SVU|TCBK|TRMK|TRN|TSS|ULTI|UMBF|UPS|USNA|VLO|WAT|WDR|WSO|WU|ZIXI,vgreg/hacked_earnings_jfe,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,RETROSPECTIVE_SAMPLE_FIRMS,DEFINITION_ONLY_NOT_POINT_IN_TIME,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME
2011-07-27,2,retrospective-samplefirms:2011-07-27,84,ABD|ACXM|ADLR|AET|AFFX|AMKR|AMP|ARW|ATI|BMC|BOKF|CBG|CGI|CIE|CLFC|CLUB|COP|CROX|CTXS|DPS|DUF|DXPE|DYAX|EGN|EQIX|ESSA|EXC|FORR|GB|GGG|GLW|GMCR|HMA|HURN|ICAD|IDCC|ISSC|ITRI|JMP|KBR|KNX|LOOP|MANT|MBLX|MCO|MUR|MWV|NCI|NEE|NOR|PFCB|PX|R|RGEN|RNOW|ROC|RYL|SFE|SFLY|SIFI|SJW|SKX|SLGN|SPTN|SRCL|SSYS|STR|SUSQ|SYA|TAL|TBI|TER|TFX|THQI|TMO|TQNT|TRH|TVL|TWI|TYL|UGI|VMED|WIRE|WLL,vgreg/hacked_earnings_jfe,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,RETROSPECTIVE_SAMPLE_FIRMS,DEFINITION_ONLY_NOT_POINT_IN_TIME,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME
2011-08-03,1,retrospective-samplefirms:2011-08-03,74,AGN|APAC|ARTC|ATO|ATSG|BRKR|CBEY|CBOU|CCO|CCRN|CECO|CEG|CENT|CHMT|CLDX|CLH|CMCSA|CMCSK|CSII|CXO|DK|DVA|DVN|DXCM|EE|EIG|FICO|FIRE|FOR|FPIC|FTR|GAS|GEO|GGC|GMO|GTAT|GVA|HIG|IMGN|IN|IPI|KMPR|LGL|LOCM|MA|MDCI|MDS|MIC|MMC|MOLXA|NCIT|NJR|NSIT|ONNN|PL|POM|PRU|PVA|PXD|SAFT|SNTS|STRI|TG|TRK|TTEK|TWX|UNTD|USU|VLNC|WCG|WGL|WXS|XNPT|ZLCS,vgreg/hacked_earnings_jfe,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,RETROSPECTIVE_SAMPLE_FIRMS,DEFINITION_ONLY_NOT_POINT_IN_TIME,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME
2011-08-18,1,retrospective-samplefirms:2011-08-18,15,ADSK|BKE|BONT|DLTR|GME|GPS|HPQ|INTU|MENT|NDSN|PERY|SCSC|SSI|TTC|WTSLA,vgreg/hacked_earnings_jfe,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,RETROSPECTIVE_SAMPLE_FIRMS,DEFINITION_ONLY_NOT_POINT_IN_TIME,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME
2011-10-20,1,retrospective-samplefirms:2011-10-20,42,ACTG|ALXN|APKT|ATHN|BAX|BOOT|CMG|CSH|CY|DO|FITB|GMT|HITT|HUBB|IBKR|INDB|JNS|LH|LTM|MBFI|MYE|NBBC|NTCT|NYT|PENN|PGI|PPG|RMBS|RRR|SCHN|SNA|SNDK|SXT|T|TBBK|TCB|TNB|TZOO|UNP|USG|UTEK|WSO,vgreg/hacked_earnings_jfe,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,RETROSPECTIVE_SAMPLE_FIRMS,DEFINITION_ONLY_NOT_POINT_IN_TIME,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME
