control_date,event_count,review_status,candidate_universe_source,candidate_universe_revision,candidate_universe_blob_sha,required_covariate_families,required_variable_anchors,blocking_reasons
2011-04-19,2,BLOCKED_POINT_IN_TIME_COVARIATES,vgreg/hacked_earnings_jfe:Data/SampleFirms.csv,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,CRSP|IBES|TAQ|RAVENPACK|MARKIT|OPTIONMETRICS|THOMSON_REUTERS_13F,lnMCAP|Beta_SPY|invPRC|lnnumest|ln_Story_Count_Relevant|DCBS|IO,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME|POINT_IN_TIME_CONTROL_UNIVERSE_MISSING|PRE_EVENT_COVARIATES_NOT_PROVEN_COMPLETE
2011-04-20,1,BLOCKED_POINT_IN_TIME_COVARIATES,vgreg/hacked_earnings_jfe:Data/SampleFirms.csv,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,CRSP|IBES|TAQ|RAVENPACK|MARKIT|OPTIONMETRICS|THOMSON_REUTERS_13F,lnMCAP|Beta_SPY|invPRC|lnnumest|ln_Story_Count_Relevant|DCBS|IO,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME|POINT_IN_TIME_CONTROL_UNIVERSE_MISSING|PRE_EVENT_COVARIATES_NOT_PROVEN_COMPLETE
2011-04-26,1,BLOCKED_POINT_IN_TIME_COVARIATES,vgreg/hacked_earnings_jfe:Data/SampleFirms.csv,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,CRSP|IBES|TAQ|RAVENPACK|MARKIT|OPTIONMETRICS|THOMSON_REUTERS_13F,lnMCAP|Beta_SPY|invPRC|lnnumest|ln_Story_Count_Relevant|DCBS|IO,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME|POINT_IN_TIME_CONTROL_UNIVERSE_MISSING|PRE_EVENT_COVARIATES_NOT_PROVEN_COMPLETE
2011-04-27,1,BLOCKED_POINT_IN_TIME_COVARIATES,vgreg/hacked_earnings_jfe:Data/SampleFirms.csv,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,CRSP|IBES|TAQ|RAVENPACK|MARKIT|OPTIONMETRICS|THOMSON_REUTERS_13F,lnMCAP|Beta_SPY|invPRC|lnnumest|ln_Story_Count_Relevant|DCBS|IO,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME|POINT_IN_TIME_CONTROL_UNIVERSE_MISSING|PRE_EVENT_COVARIATES_NOT_PROVEN_COMPLETE
2011-07-20,1,BLOCKED_POINT_IN_TIME_COVARIATES,vgreg/hacked_earnings_jfe:Data/SampleFirms.csv,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,CRSP|IBES|TAQ|RAVENPACK|MARKIT|OPTIONMETRICS|THOMSON_REUTERS_13F,lnMCAP|Beta_SPY|invPRC|lnnumest|ln_Story_Count_Relevant|DCBS|IO,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME|POINT_IN_TIME_CONTROL_UNIVERSE_MISSING|PRE_EVENT_COVARIATES_NOT_PROVEN_COMPLETE
2011-07-26,1,BLOCKED_POINT_IN_TIME_COVARIATES,vgreg/hacked_earnings_jfe:Data/SampleFirms.csv,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,CRSP|IBES|TAQ|RAVENPACK|MARKIT|OPTIONMETRICS|THOMSON_REUTERS_13F,lnMCAP|Beta_SPY|invPRC|lnnumest|ln_Story_Count_Relevant|DCBS|IO,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME|POINT_IN_TIME_CONTROL_UNIVERSE_MISSING|PRE_EVENT_COVARIATES_NOT_PROVEN_COMPLETE
2011-07-27,2,BLOCKED_POINT_IN_TIME_COVARIATES,vgreg/hacked_earnings_jfe:Data/SampleFirms.csv,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,CRSP|IBES|TAQ|RAVENPACK|MARKIT|OPTIONMETRICS|THOMSON_REUTERS_13F,lnMCAP|Beta_SPY|invPRC|lnnumest|ln_Story_Count_Relevant|DCBS|IO,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME|POINT_IN_TIME_CONTROL_UNIVERSE_MISSING|PRE_EVENT_COVARIATES_NOT_PROVEN_COMPLETE
2011-08-03,1,BLOCKED_POINT_IN_TIME_COVARIATES,vgreg/hacked_earnings_jfe:Data/SampleFirms.csv,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,CRSP|IBES|TAQ|RAVENPACK|MARKIT|OPTIONMETRICS|THOMSON_REUTERS_13F,lnMCAP|Beta_SPY|invPRC|lnnumest|ln_Story_Count_Relevant|DCBS|IO,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME|POINT_IN_TIME_CONTROL_UNIVERSE_MISSING|PRE_EVENT_COVARIATES_NOT_PROVEN_COMPLETE
2011-08-18,1,BLOCKED_POINT_IN_TIME_COVARIATES,vgreg/hacked_earnings_jfe:Data/SampleFirms.csv,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,CRSP|IBES|TAQ|RAVENPACK|MARKIT|OPTIONMETRICS|THOMSON_REUTERS_13F,lnMCAP|Beta_SPY|invPRC|lnnumest|ln_Story_Count_Relevant|DCBS|IO,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME|POINT_IN_TIME_CONTROL_UNIVERSE_MISSING|PRE_EVENT_COVARIATES_NOT_PROVEN_COMPLETE
2011-10-20,1,BLOCKED_POINT_IN_TIME_COVARIATES,vgreg/hacked_earnings_jfe:Data/SampleFirms.csv,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,CRSP|IBES|TAQ|RAVENPACK|MARKIT|OPTIONMETRICS|THOMSON_REUTERS_13F,lnMCAP|Beta_SPY|invPRC|lnnumest|ln_Story_Count_Relevant|DCBS|IO,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME|POINT_IN_TIME_CONTROL_UNIVERSE_MISSING|PRE_EVENT_COVARIATES_NOT_PROVEN_COMPLETE
