event_id,timestamp,evidence_id,source_kind,source_name,proves_first_public_release,data_class
HEJFE-A413A5AC6E515E3C,2011-04-28T07:00:00-04:00,https://www.sec.gov/Archives/edgar/data/816956/000091431711000622/ex99-1.htm,ISSUER_PUBLIC_RELEASE,CONMED Corporation Q1 2011 issuer press release - FOR RELEASE 7:00 AM Eastern,true,PUBLIC_OR_AUTHORIZED_HISTORICAL
HEJFE-F170013A9B3F85E2,2015-04-22T16:01:00-04:00,https://about.skechers.com/category/press-release/page/78,ISSUER_PUBLIC_RELEASE,SKECHERS press release archive - released Apr 22 2015 at 4:01 pm EDT,true,PUBLIC_OR_AUTHORIZED_HISTORICAL
HEJFE-C4D39B22234902F2,2015-02-03T16:07:00-05:00,https://s24.q4cdn.com/804398512/files/doc_news/archive/970dabfc-7ef2-415b-93ef-bd4f1e0f65da.pdf,ISSUER_PUBLIC_RELEASE,Gilead Sciences Q4 and full year 2014 issuer release - February 3 2015 4:07 PM ET,true,PUBLIC_OR_AUTHORIZED_HISTORICAL
HEJFE-D4E8CD312A2AA576,2012-01-25T16:10:00-05:00,https://www.prnewswire.com/news/integrated-silicon-solution%2C-inc./?page=4&pagesize=25,OFFICIAL_PUBLIC_NEWSWIRE,PR Newswire ISSI results archive - Jan 25 2012 04:10 ET cross-checked against 4:30 PM ET issuer earnings call,true,PUBLIC_OR_AUTHORIZED_HISTORICAL
HEJFE-95933AA0B84D2F60,2012-01-26T07:30:00-05:00,https://www.prnewswire.com/news/caterpillar-inc./?page=23&pagesize=25,OFFICIAL_PUBLIC_NEWSWIRE,Caterpillar PR Newswire archive - Jan 26 2012 07:30 ET,true,PUBLIC_OR_AUTHORIZED_HISTORICAL
HEJFE-A9D220DE2F7E7FC3,2015-02-20T07:00:00-05:00,https://www.prnewswire.com/news/deere-%26-company/?page=8,OFFICIAL_PUBLIC_NEWSWIRE,Deere PR Newswire archive - Feb 20 2015 07:00 ET,true,PUBLIC_OR_AUTHORIZED_HISTORICAL
HEJFE-76B03970FA6BDB42,2013-02-20T04:05:00-08:00,https://www.sec.gov/Archives/edgar/data/104918/000010491813000036/february202013earningspres.htm,ISSUER_PUBLIC_RELEASE,Avista issuer earnings release - Feb 20 2013 4:05 a.m. PT,true,PUBLIC_OR_AUTHORIZED_HISTORICAL
HEJFE-E8C5063581BE7EB7,2015-01-29T07:00:00-05:00,https://www.sec.gov/Archives/edgar/data/38009/000003800915000010/exhibit992ford8-kjanuary20.htm,ISSUER_PUBLIC_RELEASE,Ford issuer results release - Jan 29 2015 7:00 a.m. EST,true,PUBLIC_OR_AUTHORIZED_HISTORICAL
HEJFE-704E64D64C11C119,2012-01-24T09:15:00-05:00,https://www.prnewswire.com/news/Meredith%20Corporation/?page=27&pagesize=25,OFFICIAL_PUBLIC_NEWSWIRE,Meredith PR Newswire archive - Jan 24 2012 09:15 ET,true,PUBLIC_OR_AUTHORIZED_HISTORICAL
HEJFE-7E8FA3E5E417B5E7,2012-01-24T06:30:00-05:00,https://www.prnewswire.com/news/international-game-technology?page=3&pagesize=25,OFFICIAL_PUBLIC_NEWSWIRE,International Game Technology PR Newswire archive - Jan 24 2012 06:30 ET,true,PUBLIC_OR_AUTHORIZED_HISTORICAL
