symbol,effective_date,shares_outstanding,public_availability_timestamp,evidence_id,source_kind,source_name,data_class
ACHC,2015-02-27,66452931,2015-02-27T16:16:15-05:00,shares:ACHC:2015-02-27:0001193125-15-069793,PUBLIC_EFFECTIVE_DATED_SHARES,SEC EDGAR 10-K accession 0001193125-15-069793; cover-page shares outstanding as of 2015-02-27; accepted 2015-02-27 16:16:15 ET; https://www.sec.gov/Archives/edgar/data/1520697/000119312515069793/d854534d10k.htm,PUBLIC_OR_AUTHORIZED_HISTORICAL
ACO,2012-10-31,31959139,2012-11-07T06:06:25-05:00,shares:ACO:2012-10-31:0001140361-12-045926,PUBLIC_EFFECTIVE_DATED_SHARES,SEC EDGAR 10-Q accession 0001140361-12-045926; cover-page shares outstanding as of 2012-10-31; accepted 2012-11-07 06:06:25 ET; https://www.sec.gov/Archives/edgar/data/813621/000114036112045926/form10q.htm,PUBLIC_OR_AUTHORIZED_HISTORICAL
ADI,2014-11-01,311204926,2014-12-10T16:45:07-05:00,shares:ADI:2014-11-01:0000006281-14-000039,PUBLIC_EFFECTIVE_DATED_SHARES,SEC EDGAR 10-K accession 0000006281-14-000039; cover-page shares outstanding as of 2014-11-01; accepted 2014-12-10 16:45:07 ET; https://www.sec.gov/Archives/edgar/data/6281/000000628114000039/adi-1112014x10k.htm,PUBLIC_OR_AUTHORIZED_HISTORICAL
AF,2011-10-27,98537391,2011-11-04T15:00:49-04:00,shares:AF:2011-10-27:0001144204-11-061380,PUBLIC_EFFECTIVE_DATED_SHARES,SEC EDGAR 10-Q accession 0001144204-11-061380; cover-page shares outstanding as of 2011-10-27; accepted 2011-11-04 15:00:49 ET; https://www.sec.gov/Archives/edgar/data/910322/000114420411061380/v237979_10q.htm,PUBLIC_OR_AUTHORIZED_HISTORICAL
AGP,2011-07-29,49647545,2011-08-04T16:06:28-04:00,shares:AGP:2011-07-29:0000950123-11-072902,PUBLIC_EFFECTIVE_DATED_SHARES,SEC EDGAR 10-Q accession 0000950123-11-072902; cover-page shares outstanding as of 2011-07-29; accepted 2011-08-04 16:06:28 ET; https://www.sec.gov/Archives/edgar/data/1064863/000095012311072902/w82900e10vq.htm,PUBLIC_OR_AUTHORIZED_HISTORICAL
ALGN,2013-07-26,79837318,2013-08-02T16:08:53-04:00,shares:ALGN:2013-07-26:0001097149-13-000033,PUBLIC_EFFECTIVE_DATED_SHARES,SEC EDGAR 10-Q accession 0001097149-13-000033; cover-page shares outstanding as of 2013-07-26; accepted 2013-08-02 16:08:53 ET; https://www.sec.gov/Archives/edgar/data/1097149/000109714913000033/algn-2013630xq2.htm,PUBLIC_OR_AUTHORIZED_HISTORICAL
ALNY,2014-10-31,76931090,2014-11-06T08:30:58-05:00,shares:ALNY:2014-10-31:0001193125-14-399866,PUBLIC_EFFECTIVE_DATED_SHARES,SEC EDGAR 10-Q accession 0001193125-14-399866; cover-page shares outstanding as of 2014-10-31; accepted 2014-11-06 08:30:58 ET; https://www.sec.gov/Archives/edgar/data/1178670/000119312514399866/d791772d10q.htm,PUBLIC_OR_AUTHORIZED_HISTORICAL
ALSN,2015-02-05,180053650,2015-02-20T08:07:13-05:00,shares:ALSN:2015-02-05:0001193125-15-055034,PUBLIC_EFFECTIVE_DATED_SHARES,SEC EDGAR 10-K accession 0001193125-15-055034; cover-page shares outstanding as of 2015-02-05; accepted 2015-02-20 08:07:13 ET; https://www.sec.gov/Archives/edgar/data/1411207/000119312515055034/d825977d10k.htm,PUBLIC_OR_AUTHORIZED_HISTORICAL
AMD,2013-07-29,720015466,2013-08-01T17:10:34-04:00,shares:AMD:2013-07-29:0001193125-13-315281,PUBLIC_EFFECTIVE_DATED_SHARES,SEC EDGAR 10-Q accession 0001193125-13-315281; cover-page shares outstanding as of 2013-07-29; accepted 2013-08-01 17:10:34 ET; https://www.sec.gov/Archives/edgar/data/2488/000119312513315281/d573303d10q.htm,PUBLIC_OR_AUTHORIZED_HISTORICAL
AMP,2015-02-13,182511452,2015-02-24T17:31:20-05:00,shares:AMP:2015-02-13:0000820027-15-000024,PUBLIC_EFFECTIVE_DATED_SHARES,SEC EDGAR 10-K accession 0000820027-15-000024; cover-page shares outstanding as of 2015-02-13; accepted 2015-02-24 17:31:20 ET; https://www.sec.gov/Archives/edgar/data/820027/000082002715000024/amp.htm,PUBLIC_OR_AUTHORIZED_HISTORICAL
AMSG,2014-11-06,48124795,2014-11-07T16:40:21-05:00,shares:AMSG:2014-11-06:0000895930-14-000055,PUBLIC_EFFECTIVE_DATED_SHARES,SEC EDGAR 10-Q accession 0000895930-14-000055; cover-page shares outstanding as of 2014-11-06; accepted 2014-11-07 16:40:21 ET; https://www.sec.gov/Archives/edgar/data/895930/000089593014000055/amsg10q20140930.htm,PUBLIC_OR_AUTHORIZED_HISTORICAL
APC,2013-01-31,500565966,2013-02-19T17:11:05-05:00,shares:APC:2013-01-31:0001193125-13-065430,PUBLIC_EFFECTIVE_DATED_SHARES,SEC EDGAR 10-K accession 0001193125-13-065430; cover-page shares outstanding as of 2013-01-31; accepted 2013-02-19 17:11:05 ET; https://www.sec.gov/Archives/edgar/data/773910/000119312513065430/d464688d10k.htm,PUBLIC_OR_AUTHORIZED_HISTORICAL
JNPR,2011-02-18,534922000,2011-02-25T15:42:47-05:00,shares:JNPR:2011-02-18:0001445305-11-000332,PUBLIC_EFFECTIVE_DATED_SHARES,SEC EDGAR 10-K accession 0001445305-11-000332; cover-page shares outstanding as of 2011-02-18; accepted 2011-02-25 15:42:47 ET; https://www.sec.gov/Archives/edgar/data/1043604/000144530511000332/juniper10k123110.htm,PUBLIC_OR_AUTHORIZED_HISTORICAL
PNRA,2013-02-14,29568243,2013-02-15T17:05:41-05:00,shares:PNRA:2013-02-14:0000724606-13-000009,PUBLIC_EFFECTIVE_DATED_SHARES,"SEC EDGAR 10-K accession 0000724606-13-000009; cover page states 28,184,556 Class A plus 1,383,687 Class B common shares as of 2013-02-14 = 29,568,243 total common shares; accepted 2013-02-15 17:05:41 ET; https://www.sec.gov/Archives/edgar/data/724606/000072460613000009/a2012122510k.htm",PUBLIC_OR_AUTHORIZED_HISTORICAL
