interval_id,symbol,primary_exchange,valid_from,valid_through,start_evidence_url,end_evidence_url,source_name,data_class
listing-interval:CAT:2011Q4-2012Q1,CAT,NYSE,2011-12-22,2012-01-25,https://www.sec.gov/Archives/edgar/data/18230/000110465911008938/a10-18643_110k.htm,https://www.sec.gov/Archives/edgar/data/18230/000110465912011331/a12-2184_110k.htm,SEC annual reports bracket CAT New York Stock Exchange listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:CNMD:2011Q1,CNMD,NASDAQ,2011-03-28,2011-04-27,https://www.sec.gov/Archives/edgar/data/816956/000091431711000319/form10k-113048_cnmd.htm,https://www.sec.gov/Archives/edgar/data/816956/000081695612000007/cnmd10k.htm,SEC annual reports bracket CNMD Nasdaq listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:F:2014Q4-2015Q1,F,NYSE,2014-12-26,2015-01-28,https://www.sec.gov/Archives/edgar/data/37996/000003799613000014/f12312012-10k.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799615000013/f1231201410-k.htm,SEC annual reports bracket Ford New York Stock Exchange listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:GILD:2015Q1,GILD,NASDAQ,2015-01-02,2015-02-03,https://www.sec.gov/Archives/edgar/data/882095/000088209514000013/a2013form10-k.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209515000008/a2014form10-k.htm,SEC annual reports bracket GILD Nasdaq Global Select Market listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:NKE:2015Q1,NKE,NYSE,2015-02-18,2015-03-19,https://www.sec.gov/Archives/edgar/data/320187/000032018714000097/nke-5312014x10k.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018715000113/nke-5312015x10k.htm,SEC annual reports bracket NIKE New York Stock Exchange listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:SBUX:2014Q4-2015Q1,SBUX,NASDAQ,2014-12-18,2015-01-22,https://www.sec.gov/Archives/edgar/data/829224/000082922414000041/sbux-9282014x10k.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922415000038/sbux-9272015x10k.htm,SEC annual reports bracket Starbucks Nasdaq Global Select Market listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:BA:2011Q4-2012Q1,BA,NYSE,2011-12-21,2012-01-24,https://www.sec.gov/Archives/edgar/data/12927/000119312511028490/d10k.htm,https://www.sec.gov/Archives/edgar/data/12927/000119312512048565/d255574d10k.htm,SEC annual reports bracket Boeing New York Stock Exchange listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:DE:2015Q1,DE,NYSE,2015-01-20,2015-02-19,https://www.sec.gov/Archives/edgar/data/315189/000110465914087794/a14-20671_110k.htm,https://www.sec.gov/Archives/edgar/data/315189/000104746915009300/a2226814z10-k.htm,SEC annual reports bracket Deere New York Stock Exchange listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:HON:2011Q4-2012Q1,HON,NYSE,2011-12-23,2012-01-26,https://www.sec.gov/Archives/edgar/data/773840/000093041311000961/c63936_10-k.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041312000976/c68029_10k.htm,SEC annual reports bracket Honeywell New York Stock Exchange listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:ADI:2015H1,ADI,NASDAQ,2015-01-15,2015-05-19,https://www.sec.gov/Archives/edgar/data/6281/000000628114000039/adi-1112014x10k.htm,https://www.sec.gov/Archives/edgar/data/6281/000000628115000044/adi-10312015x10k.htm,SEC annual reports bracket Analog Devices Nasdaq Global Select Market listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:JNPR:2011-2013,JNPR,NYSE,2011-03-21,2013-10-22,https://www.sec.gov/Archives/edgar/data/1043604/000144530511000332/juniper10k123110.htm,https://www.sec.gov/Archives/edgar/data/1043604/000104360414000038/jnpr-10k20131231.htm,SEC annual reports bracket Juniper Networks New York Stock Exchange listing interval following documented 2009 transfer,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:VMW:2011-2013,VMW,NYSE,2011-03-21,2013-10-21,https://www.sec.gov/Archives/edgar/data/1124610/000119312511050075/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124610/000112461014000008/vmw-12312013x10k.htm,SEC annual reports bracket VMware Class A common stock New York Stock Exchange listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:CA:2011-2012,CA,NASDAQ,2011-06-20,2012-01-24,https://www.sec.gov/Archives/edgar/data/356028/000095012311050920/y89470e10vk.htm,https://www.sec.gov/Archives/edgar/data/356028/000119312512228559/d304418d10k.htm,SEC annual reports bracket CA Technologies Nasdaq Global Select Market listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:DGI:2012-2015,DGI,NYSE,2012-06-29,2015-02-26,https://www.sec.gov/Archives/edgar/data/1208208/000119312512089204/d260857d10k.htm,https://www.sec.gov/Archives/edgar/data/1208208/000155837015000193/dgi-20141231x10k.htm,SEC annual reports bracket DigitalGlobe New York Stock Exchange listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:PNRA:2013-2015,PNRA,NASDAQ,2013-03-22,2015-02-11,https://www.sec.gov/Archives/edgar/data/724606/000072460613000009/a2012122510k.htm,https://www.sec.gov/Archives/edgar/data/724606/000072460615000004/a2014123010k.htm,SEC annual reports bracket Panera Bread Nasdaq Global Select Market listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
