historical_symbol,requirement_count,first_date,last_date,required_dates
INWK,22,2015-01-13,2015-02-12,2015-01-13|2015-01-14|2015-01-15|2015-01-16|2015-01-20|2015-01-21|2015-01-22|2015-01-23|2015-01-26|2015-01-27|2015-01-28|2015-01-29|2015-01-30|2015-02-02|2015-02-03|2015-02-04|2015-02-05|2015-02-06|2015-02-09|2015-02-10|2015-02-11|2015-02-12
ISIL,22,2013-03-25,2013-04-24,2013-03-25|2013-03-26|2013-03-27|2013-03-28|2013-04-01|2013-04-02|2013-04-03|2013-04-04|2013-04-05|2013-04-08|2013-04-09|2013-04-10|2013-04-11|2013-04-12|2013-04-15|2013-04-16|2013-04-17|2013-04-18|2013-04-19|2013-04-22|2013-04-23|2013-04-24
ISSI,22,2011-12-22,2012-01-25,2011-12-22|2011-12-23|2011-12-27|2011-12-28|2011-12-29|2011-12-30|2012-01-03|2012-01-04|2012-01-05|2012-01-06|2012-01-09|2012-01-10|2012-01-11|2012-01-12|2012-01-13|2012-01-17|2012-01-18|2012-01-19|2012-01-20|2012-01-23|2012-01-24|2012-01-25
JWN,22,2015-01-20,2015-02-19,2015-01-20|2015-01-21|2015-01-22|2015-01-23|2015-01-26|2015-01-27|2015-01-28|2015-01-29|2015-01-30|2015-02-02|2015-02-03|2015-02-04|2015-02-05|2015-02-06|2015-02-09|2015-02-10|2015-02-11|2015-02-12|2015-02-13|2015-02-17|2015-02-18|2015-02-19
KELYA,22,2013-04-08,2013-05-07,2013-04-08|2013-04-09|2013-04-10|2013-04-11|2013-04-12|2013-04-15|2013-04-16|2013-04-17|2013-04-18|2013-04-19|2013-04-22|2013-04-23|2013-04-24|2013-04-25|2013-04-26|2013-04-29|2013-04-30|2013-05-01|2013-05-02|2013-05-03|2013-05-06|2013-05-07
KOPN,22,2015-02-06,2015-03-10,2015-02-06|2015-02-09|2015-02-10|2015-02-11|2015-02-12|2015-02-13|2015-02-17|2015-02-18|2015-02-19|2015-02-20|2015-02-23|2015-02-24|2015-02-25|2015-02-26|2015-02-27|2015-03-02|2015-03-03|2015-03-04|2015-03-05|2015-03-06|2015-03-09|2015-03-10
LRCX,22,2013-03-25,2013-04-24,2013-03-25|2013-03-26|2013-03-27|2013-03-28|2013-04-01|2013-04-02|2013-04-03|2013-04-04|2013-04-05|2013-04-08|2013-04-09|2013-04-10|2013-04-11|2013-04-12|2013-04-15|2013-04-16|2013-04-17|2013-04-18|2013-04-19|2013-04-22|2013-04-23|2013-04-24
LSCC,22,2013-03-19,2013-04-18,2013-03-19|2013-03-20|2013-03-21|2013-03-22|2013-03-25|2013-03-26|2013-03-27|2013-03-28|2013-04-01|2013-04-02|2013-04-03|2013-04-04|2013-04-05|2013-04-08|2013-04-09|2013-04-10|2013-04-11|2013-04-12|2013-04-15|2013-04-16|2013-04-17|2013-04-18
LSTR,22,2011-09-22,2011-10-21,2011-09-22|2011-09-23|2011-09-26|2011-09-27|2011-09-28|2011-09-29|2011-09-30|2011-10-03|2011-10-04|2011-10-05|2011-10-06|2011-10-07|2011-10-10|2011-10-11|2011-10-12|2011-10-13|2011-10-14|2011-10-17|2011-10-18|2011-10-19|2011-10-20|2011-10-21
MAT,22,2015-03-17,2015-04-16,2015-03-17|2015-03-18|2015-03-19|2015-03-20|2015-03-23|2015-03-24|2015-03-25|2015-03-26|2015-03-27|2015-03-30|2015-03-31|2015-04-01|2015-04-02|2015-04-06|2015-04-07|2015-04-08|2015-04-09|2015-04-10|2015-04-13|2015-04-14|2015-04-15|2015-04-16
